1R	1B	st'	2K	2A	2W	2R	2H	2M	2B	2G	st''	->	opt_action
6		0		-		0		0		2		0		0		0		0		8		-		->		p1_R_We
6		0		-		0		0		2		0		0		0		1		0		-		->		p1_R_We
6		0		-		0		0		2		0		0		0		2		0		-		->		p1_R_We
6		0		-		0		0		2		0		0		0		4		0		-		->		p1_R_We
6		0		-		0		0		2		0		0		0		5		0		-		->		p1_R_We
6		0		-		0		0		2		0		0		0		7		0		-		->		p1_R_We
6		0		-		0		0		2		0		0		0		10	0		-		->		p1_R_We
6		0		-		0		0		2		0		0		1		0		0		-		->		p1_R_We
6		0		-		0		0		2		0		0		2		0		0		-		->		p1_R_We
6		0		-		0		0		2		0		0		4		0		0		-		->		p1_R_We
6		0		-		0		0		2		0		0		7		0		0		-		->		p1_R_We
6		0		-		0		0		2		0		1		0		0		0		-		->		p1_R_We
6		0		-		0		0		2		0		2		0		0		0		-		->		p1_R_We
6		0		-		0		0		2		0		3		0		0		0		-		->		p1_R_We
6		0		-		0		0		2		0		4		0		0		0		-		->		p1_R_We
6		0		-		0		0		2		0		5		0		0		0		-		->		p1_R_We
6		0		-		0		0		2		0		6		0		0		0		-		->		p1_R_We
6		0		-		0		0		2		0		7		0		0		0		-		->		p1_R_We
6		0		-		0		0		2		0		8		0		0		0		-		->		p1_R_We
6		0		-		0		0		2		0		9		0		0		0		-		->		p1_R_We
6		0		-		0		0		2		0		10	0		0		0		-		->		p1_R_We
6		0		-		0		0		2		2		0		0		0		0		-		->		p1_R_We
6		0		-		0		0		2		3		0		0		0		0		-		->		p1_R_We
6		0		-		0		0		2		5		0		0		0		0		-		->		p1_R_We
6		0		-		0		0		2		8		0		0		0		0		-		->		p1_R_We
6		0		-		0		0		3		0		0		0		0		0		-		->		p1_R_We
6		0		-		0		0		3		0		0		0		0		2		-		->		p1_R_We
6		0		-		0		0		3		0		0		0		0		3		-		->		p1_R_We
6		0		-		0		0		3		0		0		0		0		5		-		->		p1_R_We
6		0		-		0		0		3		0		0		0		0		8		-		->		p1_R_We
6		0		-		0		0		3		0		0		0		1		0		-		->		p1_R_We
6		0		-		0		0		3		0		0		0		2		0		-		->		p1_R_We
6		0		-		0		0		3		0		0		0		4		0		-		->		p1_R_We
6		0		-		0		0		3		0		0		0		5		0		-		->		p1_R_We
6		0		-		0		0		3		0		0		0		7		0		-		->		p1_R_We
6		0		-		0		0		3		0		0		0		10	0		-		->		p1_R_We
6		0		-		0		0		3		0		0		1		0		0		-		->		p1_R_We
6		0		-		0		0		3		0		0		2		0		0		-		->		p1_R_We
6		0		-		0		0		3		0		0		4		0		0		-		->		p1_R_We
6		0		-		0		0		3		0		0		7		0		0		-		->		p1_R_We
6		0		-		0		0		3		0		1		0		0		0		-		->		p1_R_We
6		0		-		0		0		3		0		2		0		0		0		-		->		p1_R_We
6		0		-		0		0		3		0		3		0		0		0		-		->		p1_R_We
6		0		-		0		0		3		0		4		0		0		0		-		->		p1_R_We
6		0		-		0		0		3		0		5		0		0		0		-		->		p1_R_We
6		0		-		0		0		3		0		6		0		0		0		-		->		p1_R_We
6		0		-		0		0		3		0		7		0		0		0		-		->		p1_R_We
6		0		-		0		0		3		0		8		0		0		0		-		->		p1_R_We
6		0		-		0		0		3		0		9		0		0		0		-		->		p1_R_We
6		0		-		0		0		3		0		10	0		0		0		-		->		p1_R_We
6		0		-		0		0		3		2		0		0		0		0		-		->		p1_R_We
6		0		-		0		0		3		3		0		0		0		0		-		->		p1_R_We
6		0		-		0		0		3		5		0		0		0		0		-		->		p1_R_We
6		0		-		0		0		3		8		0		0		0		0		-		->		p1_R_We
6		0		-		0		0		4		0		0		0		0		0		-		->		p1_R_We
6		0		-		0		0		4		0		1		0		0		0		-		->		p1_R_We
6		0		-		0		0		4		0		2		0		0		0		-		->		p1_R_We
6		0		-		0		0		4		0		3		0		0		0		-		->		p1_R_We
6		0		-		0		0		4		0		4		0		0		0		-		->		p1_R_We
6		0		-		0		0		4		0		5		0		0		0		-		->		p1_R_We
6		0		-		0		0		4		0		6		0		0		0		-		->		p1_R_We
6		0		-		0		0		4		0		7		0		0		0		-		->		p1_R_We
6		0		-		0		0		4		0		8		0		0		0		-		->		p1_R_We
6		0		-		0		0		4		0		9		0		0		0		-		->		p1_R_We
6		0		-		0		0		4		0		10	0		0		0		-		->		p1_R_We
6		0		-		0		0		5		0		0		0		0		0		-		->		p1_R_We
6		0		-		0		0		5		0		0		0		0		2		-		->		p1_R_We
6		0		-		0		0		5		0		0		0		0		3		-		->		p1_R_We
6		0		-		0		0		5		0		0		0		0		5		-		->		p1_R_We
6		0		-		0		0		5		0		0		0		0		8		-		->		p1_R_We
6		0		-		0		0		5		0		0		0		1		0		-		->		p1_R_We
6		0		-		0		0		5		0		0		0		2		0		-		->		p1_R_We
6		0		-		0		0		5		0		0		0		4		0		-		->		p1_R_We
6		0		-		0		0		5		0		0		0		5		0		-		->		p1_R_We
6		0		-		0		0		5		0		0		0		7		0		-		->		p1_R_We
6		0		-		0		0		5		0		0		0		10	0		-		->		p1_R_We
6		0		-		0		0		5		0		0		1		0		0		-		->		p1_R_We
6		0		-		0		0		5		0		0		2		0		0		-		->		p1_R_We
6		0		-		0		0		5		0		0		4		0		0		-		->		p1_R_We
6		0		-		0		0		5		0		0		7		0		0		-		->		p1_R_We
6		0		-		0		0		5		0		1		0		0		0		-		->		p1_R_We
6		0		-		0		0		5		0		2		0		0		0		-		->		p1_R_We
6		0		-		0		0		5		0		3		0		0		0		-		->		p1_R_We
6		0		-		0		0		5		0		4		0		0		0		-		->		p1_R_We
6		0		-		0		0		5		0		5		0		0		0		-		->		p1_R_We
6		0		-		0		0		5		0		6		0		0		0		-		->		p1_R_We
6		0		-		0		0		5		0		7		0		0		0		-		->		p1_R_We
6		0		-		0		0		5		0		8		0		0		0		-		->		p1_R_We
6		0		-		0		0		5		0		9		0		0		0		-		->		p1_R_We
6		0		-		0		0		5		0		10	0		0		0		-		->		p1_R_We
6		0		-		0		0		5		2		0		0		0		0		-		->		p1_R_We
6		0		-		0		0		5		3		0		0		0		0		-		->		p1_R_We
6		0		-		0		0		5		5		0		0		0		0		-		->		p1_R_We
6		0		-		0		0		5		8		0		0		0		0		-		->		p1_R_We
6		0		-		0		0		6		0		0		0		0		0		-		->		p1_R_W
6		0		-		0		0		6		0		1		0		0		0		-		->		p1_R_W
6		0		-		0		0		6		0		2		0		0		0		-		->		p1_R_W
6		0		-		0		0		6		0		3		0		0		0		-		->		p1_R_W
6		0		-		0		0		6		0		4		0		0		0		-		->		p1_R_W
6		0		-		0		0		6		0		5		0		0		0		-		->		p1_R_W
6		0		-		0		0		6		0		6		0		0		0		-		->		p1_R_W
6		0		-		0		0		6		0		7		0		0		0		-		->		p1_R_W
6		0		-		0		0		6		0		8		0		0		0		-		->		p1_R_W
6		0		-		0		0		6		0		9		0		0		0		-		->		p1_R_W
6		0		-		0		0		6		0		10	0		0		0		-		->		p1_R_W
6		0		-		0		0		7		0		0		0		0		0		-		->		p1_R_W
6		0		-		0		0		7		0		1		0		0		0		-		->		p1_R_W
6		0		-		0		0		7		0		2		0		0		0		-		->		p1_R_W
6		0		-		0		0		7		0		3		0		0		0		-		->		p1_R_W
6		0		-		0		0		7		0		4		0		0		0		-		->		p1_R_W
6		0		-		0		0		7		0		5		0		0		0		-		->		p1_R_W
6		0		-		0		0		7		0		6		0		0		0		-		->		p1_R_W
6		0		-		0		0		7		0		7		0		0		0		-		->		p1_R_W
6		0		-		0		0		7		0		8		0		0		0		-		->		p1_R_W
6		0		-		0		0		7		0		9		0		0		0		-		->		p1_R_W
6		0		-		0		0		7		0		10	0		0		0		-		->		p1_R_W
6		0		-		0		0		8		0		0		0		0		0		-		->		p1_R_W
6		0		-		0		0		8		0		0		0		0		2		-		->		p1_R_W
6		0		-		0		0		8		0		0		0		0		3		-		->		p1_R_W
6		0		-		0		0		8		0		0		0		0		5		-		->		p1_R_W
6		0		-		0		0		8		0		0		0		0		8		-		->		p1_R_W
6		0		-		0		0		8		0		0		0		1		0		-		->		p1_R_W
6		0		-		0		0		8		0		0		0		2		0		-		->		p1_R_W
6		0		-		0		0		8		0		0		0		4		0		-		->		p1_R_W
6		0		-		0		0		8		0		0		0		5		0		-		->		p1_R_W
6		0		-		0		0		8		0		0		0		7		0		-		->		p1_R_W
6		0		-		0		0		8		0		0		0		10	0		-		->		p1_R_W
6		0		-		0		0		8		0		0		1		0		0		-		->		p1_R_W
6		0		-		0		0		8		0		0		2		0		0		-		->		p1_R_W
6		0		-		0		0		8		0		0		4		0		0		-		->		p1_R_W
6		0		-		0		0		8		0		0		7		0		0		-		->		p1_R_W
6		0		-		0		0		8		0		1		0		0		0		-		->		p1_R_W
6		0		-		0		0		8		0		2		0		0		0		-		->		p1_R_W
6		0		-		0		0		8		0		3		0		0		0		-		->		p1_R_W
6		0		-		0		0		8		0		4		0		0		0		-		->		p1_R_W
6		0		-		0		0		8		0		5		0		0		0		-		->		p1_R_W
6		0		-		0		0		8		0		6		0		0		0		-		->		p1_R_W
6		0		-		0		0		8		0		7		0		0		0		-		->		p1_R_W
6		0		-		0		0		8		0		8		0		0		0		-		->		p1_R_W
6		0		-		0		0		8		0		9		0		0		0		-		->		p1_R_W
6		0		-		0		0		8		0		10	0		0		0		-		->		p1_R_W
6		0		-		0		0		8		2		0		0		0		0		-		->		p1_R_W
6		0		-		0		0		8		3		0		0		0		0		-		->		p1_R_W
6		0		-		0		0		8		5		0		0		0		0		-		->		p1_R_W
6		0		-		0		0		8		8		0		0		0		0		-		->		p1_R_W
6		0		-		0		1		0		0		0		0		0		0		-		->		p1_R_Ae
6		0		-		0		1		0		0		1		0		0		0		-		->		p1_R_Ae
6		0		-		0		1		0		0		2		0		0		0		-		->		p1_R_Ae
6		0		-		0		1		0		0		3		0		0		0		-		->		p1_R_Ae
6		0		-		0		1		0		0		4		0		0		0		-		->		p1_R_He
6		0		-		0		1		0		0		5		0		0		0		-		->		p1_R_He
6		0		-		0		1		0		0		6		0		0		0		-		->		p1_R_Ae
6		0		-		0		1		0		0		7		0		0		0		-		->		p1_R_H
6		0		-		0		1		0		0		8		0		0		0		-		->		p1_R_H
6		0		-		0		1		0		0		9		0		0		0		-		->		p1_R_Ae
6		0		-		0		1		0		0		10	0		0		0		-		->		p1_R_Ae
6		0		-		0		2		0		0		0		0		0		0		-		->		p1_R_Ae
6		0		-		0		2		0		0		0		0		0		2		-		->		p1_R_Ge
6		0		-		0		2		0		0		0		0		0		3		-		->		p1_R_Ge
6		0		-		0		2		0		0		0		0		0		5		-		->		p1_R_Ge
6		0		-		0		2		0		0		0		0		0		8		-		->		p1_R_G
6		0		-		0		2		0		0		0		0		1		0		-		->		p1_R_Be
6		0		-		0		2		0		0		0		0		2		0		-		->		p1_R_Be
6		0		-		0		2		0		0		0		0		4		0		-		->		p1_R_Be
6		0		-		0		2		0		0		0		0		5		0		-		->		p1_R_Be
6		0		-		0		2		0		0		0		0		7		0		-		->		p1_R_B
6		0		-		0		2		0		0		0		0		10	0		-		->		p1_R_B
6		0		-		0		2		0		0		0		1		0		0		-		->		p1_R_Me
6		0		-		0		2		0		0		0		2		0		0		-		->		p1_R_Me
6		0		-		0		2		0		0		0		4		0		0		-		->		p1_R_Me
6		0		-		0		2		0		0		0		7		0		0		-		->		p1_R_M
6		0		-		0		2		0		0		1		0		0		0		-		->		p1_R_Ae
6		0		-		0		2		0		0		2		0		0		0		-		->		p1_R_Ae
6		0		-		0		2		0		0		3		0		0		0		-		->		p1_R_Ae
6		0		-		0		2		0		0		4		0		0		0		-		->		p1_R_He
6		0		-		0		2		0		0		5		0		0		0		-		->		p1_R_He
6		0		-		0		2		0		0		6		0		0		0		-		->		p1_R_Ae
6		0		-		0		2		0		0		7		0		0		0		-		->		p1_R_H
6		0		-		0		2		0		0		8		0		0		0		-		->		p1_R_H
6		0		-		0		2		0		0		9		0		0		0		-		->		p1_R_Ae
6		0		-		0		2		0		0		10	0		0		0		-		->		p1_R_Ae
6		0		-		0		2		0		2		0		0		0		0		-		->		p1_R_Re
6		0		-		0		2		0		3		0		0		0		0		-		->		p1_R_Re
6		0		-		0		2		0		5		0		0		0		0		-		->		p1_R_Re
6		0		-		0		2		0		8		0		0		0		0		-		->		p1_R_R
6		0		-		0		2		2		0		0		0		0		0		-		->		p1_R_We
6		0		-		0		2		3		0		0		0		0		0		-		->		p1_R_We
6		0		-		0		2		5		0		0		0		0		0		-		->		p1_R_We
6		0		-		0		2		8		0		0		0		0		0		-		->		p1_R_W
6		0		-		0		3		0		0		0		0		0		0		-		->		p1_R_Ae
6		0		-		0		3		0		0		0		0		0		2		-		->		p1_R_Ge
6		0		-		0		3		0		0		0		0		0		3		-		->		p1_R_Ge
6		0		-		0		3		0		0		0		0		0		5		-		->		p1_R_Ge
6		0		-		0		3		0		0		0		0		0		8		-		->		p1_R_G
6		0		-		0		3		0		0		0		0		1		0		-		->		p1_R_Be
6		0		-		0		3		0		0		0		0		2		0		-		->		p1_R_Be
6		0		-		0		3		0		0		0		0		4		0		-		->		p1_R_Be
6		0		-		0		3		0		0		0		0		5		0		-		->		p1_R_Be
6		0		-		0		3		0		0		0		0		7		0		-		->		p1_R_B
6		0		-		0		3		0		0		0		0		10	0		-		->		p1_R_B
6		0		-		0		3		0		0		0		1		0		0		-		->		p1_R_Me
6		0		-		0		3		0		0		0		2		0		0		-		->		p1_R_Me
6		0		-		0		3		0		0		0		4		0		0		-		->		p1_R_Me
6		0		-		0		3		0		0		0		7		0		0		-		->		p1_R_M
6		0		-		0		3		0		0		1		0		0		0		-		->		p1_R_Ae
6		0		-		0		3		0		0		2		0		0		0		-		->		p1_R_Ae
6		0		-		0		3		0		0		3		0		0		0		-		->		p1_R_Ae
6		0		-		0		3		0		0		4		0		0		0		-		->		p1_R_He
6		0		-		0		3		0		0		5		0		0		0		-		->		p1_R_He
6		0		-		0		3		0		0		6		0		0		0		-		->		p1_R_Ae
6		0		-		0		3		0		0		7		0		0		0		-		->		p1_R_H
6		0		-		0		3		0		0		8		0		0		0		-		->		p1_R_H
6		0		-		0		3		0		0		9		0		0		0		-		->		p1_R_Ae
6		0		-		0		3		0		0		10	0		0		0		-		->		p1_R_Ae
6		0		-		0		3		0		2		0		0		0		0		-		->		p1_R_Re
6		0		-		0		3		0		3		0		0		0		0		-		->		p1_R_Re
6		0		-		0		3		0		5		0		0		0		0		-		->		p1_R_Re
6		0		-		0		3		0		8		0		0		0		0		-		->		p1_R_R
6		0		-		0		3		2		0		0		0		0		0		-		->		p1_R_We
6		0		-		0		3		3		0		0		0		0		0		-		->		p1_R_We
6		0		-		0		3		5		0		0		0		0		0		-		->		p1_R_We
6		0		-		0		3		8		0		0		0		0		0		-		->		p1_R_W
6		0		-		0		4		0		0		0		0		0		0		-		->		p1_R_Ae
6		0		-		0		4		0		0		1		0		0		0		-		->		p1_R_Ae
6		0		-		0		4		0		0		2		0		0		0		-		->		p1_R_Ae
6		0		-		0		4		0		0		3		0		0		0		-		->		p1_R_Ae
6		0		-		0		4		0		0		4		0		0		0		-		->		p1_R_He
6		0		-		0		4		0		0		5		0		0		0		-		->		p1_R_He
6		0		-		0		4		0		0		6		0		0		0		-		->		p1_R_Ae
6		0		-		0		4		0		0		7		0		0		0		-		->		p1_R_H
6		0		-		0		4		0		0		8		0		0		0		-		->		p1_R_H
6		0		-		0		4		0		0		9		0		0		0		-		->		p1_R_Ae
6		0		-		0		4		0		0		10	0		0		0		-		->		p1_R_Ae
6		0		-		0		5		0		0		0		0		0		0		-		->		p1_R_Ae
6		0		-		0		5		0		0		0		0		0		2		-		->		p1_R_Ge
6		0		-		0		5		0		0		0		0		0		3		-		->		p1_R_Ge
6		0		-		0		5		0		0		0		0		0		5		-		->		p1_R_Ge
6		0		-		0		5		0		0		0		0		0		8		-		->		p1_R_G
6		0		-		0		5		0		0		0		0		1		0		-		->		p1_R_Be
6		0		-		0		5		0		0		0		0		2		0		-		->		p1_R_Be
6		0		-		0		5		0		0		0		0		4		0		-		->		p1_R_Be
6		0		-		0		5		0		0		0		0		5		0		-		->		p1_R_Be
6		0		-		0		5		0		0		0		0		7		0		-		->		p1_R_B
6		0		-		0		5		0		0		0		0		10	0		-		->		p1_R_B
6		0		-		0		5		0		0		0		1		0		0		-		->		p1_R_Me
6		0		-		0		5		0		0		0		2		0		0		-		->		p1_R_Me
6		0		-		0		5		0		0		0		4		0		0		-		->		p1_R_Me
6		0		-		0		5		0		0		0		7		0		0		-		->		p1_R_M
6		0		-		0		5		0		0		1		0		0		0		-		->		p1_R_Ae
6		0		-		0		5		0		0		2		0		0		0		-		->		p1_R_Ae
6		0		-		0		5		0		0		3		0		0		0		-		->		p1_R_Ae
6		0		-		0		5		0		0		4		0		0		0		-		->		p1_R_He
6		0		-		0		5		0		0		5		0		0		0		-		->		p1_R_He
6		0		-		0		5		0		0		6		0		0		0		-		->		p1_R_Ae
6		0		-		0		5		0		0		7		0		0		0		-		->		p1_R_Ae
6		0		-		0		5		0		0		8		0		0		0		-		->		p1_R_H
6		0		-		0		5		0		0		9		0		0		0		-		->		p1_R_Ae
6		0		-		0		5		0		0		10	0		0		0		-		->		p1_R_Ae
6		0		-		0		5		0		2		0		0		0		0		-		->		p1_R_Re
6		0		-		0		5		0		3		0		0		0		0		-		->		p1_R_Re
6		0		-		0		5		0		5		0		0		0		0		-		->		p1_R_Re
6		0		-		0		5		0		8		0		0		0		0		-		->		p1_R_R
6		0		-		0		5		2		0		0		0		0		0		-		->		p1_R_We
6		0		-		0		5		3		0		0		0		0		0		-		->		p1_R_We
6		0		-		0		5		5		0		0		0		0		0		-		->		p1_R_We
6		0		-		0		5		8		0		0		0		0		0		-		->		p1_R_W
6		0		-		0		6		0		0		0		0		0		0		-		->		p1_R_A
6		0		-		0		6		0		0		1		0		0		0		-		->		p1_R_A
6		0		-		0		6		0		0		2		0		0		0		-		->		p1_R_A
6		0		-		0		6		0		0		3		0		0		0		-		->		p1_R_A
6		0		-		0		6		0		0		4		0		0		0		-		->		p1_R_He
6		0		-		0		6		0		0		5		0		0		0		-		->		p1_R_He
6		0		-		0		6		0		0		6		0		0		0		-		->		p1_R_A
6		0		-		0		6		0		0		7		0		0		0		-		->		p1_R_H
6		0		-		0		6		0		0		8		0		0		0		-		->		p1_R_H
6		0		-		0		6		0		0		9		0		0		0		-		->		p1_R_A
6		0		-		0		6		0		0		10	0		0		0		-		->		p1_R_A
6		0		-		0		7		0		0		0		0		0		0		-		->		p1_R_A
6		0		-		0		7		0		0		1		0		0		0		-		->		p1_R_He
6		0		-		0		7		0		0		2		0		0		0		-		->		p1_R_He
6		0		-		0		7		0		0		3		0		0		0		-		->		p1_R_He
6		0		-		0		7		0		0		4		0		0		0		-		->		p1_R_He
6		0		-		0		7		0		0		5		0		0		0		-		->		p1_R_He
6		0		-		0		7		0		0		6		0		0		0		-		->		p1_R_H
6		0		-		0		7		0		0		7		0		0		0		-		->		p1_R_H
6		0		-		0		7		0		0		8		0		0		0		-		->		p1_R_H
6		0		-		0		7		0		0		9		0		0		0		-		->		p1_R_H
6		0		-		0		7		0		0		10	0		0		0		-		->		p1_R_H
6		0		-		0		8		0		0		0		0		0		0		-		->		p1_R_A
6		0		-		0		8		0		0		0		0		0		2		-		->		p1_R_Ge
6		0		-		0		8		0		0		0		0		0		3		-		->		p1_R_Ge
6		0		-		0		8		0		0		0		0		0		5		-		->		p1_R_Ge
6		0		-		0		8		0		0		0		0		0		8		-		->		p1_R_G
6		0		-		0		8		0		0		0		0		1		0		-		->		p1_R_Be
6		0		-		0		8		0		0		0		0		2		0		-		->		p1_R_Be
6		0		-		0		8		0		0		0		0		4		0		-		->		p1_R_Be
6		0		-		0		8		0		0		0		0		5		0		-		->		p1_R_A
6		0		-		0		8		0		0		0		0		7		0		-		->		p1_R_A
6		0		-		0		8		0		0		0		0		10	0		-		->		p1_R_A
6		0		-		0		8		0		0		0		1		0		0		-		->		p1_R_Me
6		0		-		0		8		0		0		0		2		0		0		-		->		p1_R_Me
6		0		-		0		8		0		0		0		4		0		0		-		->		p1_R_Me
6		0		-		0		8		0		0		0		7		0		0		-		->		p1_R_M
6		0		-		0		8		0		0		1		0		0		0		-		->		p1_R_He
6		0		-		0		8		0		0		2		0		0		0		-		->		p1_R_He
6		0		-		0		8		0		0		3		0		0		0		-		->		p1_R_He
6		0		-		0		8		0		0		4		0		0		0		-		->		p1_R_He
6		0		-		0		8		0		0		5		0		0		0		-		->		p1_R_He
6		0		-		0		8		0		0		6		0		0		0		-		->		p1_R_H
6		0		-		0		8		0		0		7		0		0		0		-		->		p1_R_H
6		0		-		0		8		0		0		8		0		0		0		-		->		p1_R_H
6		0		-		0		8		0		0		9		0		0		0		-		->		p1_R_H
6		0		-		0		8		0		0		10	0		0		0		-		->		p1_R_H
6		0		-		0		8		0		2		0		0		0		0		-		->		p1_R_Re
6		0		-		0		8		0		3		0		0		0		0		-		->		p1_R_Re
6		0		-		0		8		0		5		0		0		0		0		-		->		p1_R_Re
6		0		-		0		8		0		8		0		0		0		0		-		->		p1_R_R
6		0		-		0		8		2		0		0		0		0		0		-		->		p1_R_We
6		0		-		0		8		3		0		0		0		0		0		-		->		p1_R_We
6		0		-		0		8		5		0		0		0		0		0		-		->		p1_R_We
6		0		-		0		8		8		0		0		0		0		0		-		->		p1_R_W
6		0		-		1		0		0		0		0		0		0		0		-		->		p1_R_Ke
6		0		-		1		0		0		0		0		0		0		2		-		->		p1_R_Ge
6		0		-		1		0		0		0		0		0		0		3		-		->		p1_R_Ge
6		0		-		1		0		0		0		0		0		0		5		-		->		p1_R_Ge
6		0		-		1		0		0		0		0		0		0		8		-		->		p1_R_G
6		0		-		1		0		0		0		0		1		0		0		-		->		p1_R_Me
6		0		-		1		0		0		0		0		2		0		0		-		->		p1_R_Me
6		0		-		1		0		0		0		0		4		0		0		-		->		p1_R_Me
6		0		-		1		0		0		0		0		7		0		0		-		->		p1_R_M
6		0		-		1		0		0		0		1		0		0		0		-		->		p1_R_Ke
6		0		-		1		0		0		0		2		0		0		0		-		->		p1_R_Ke
6		0		-		1		0		0		0		3		0		0		0		-		->		p1_R_Ke
6		0		-		1		0		0		0		4		0		0		0		-		->		p1_R_He
6		0		-		1		0		0		0		5		0		0		0		-		->		p1_R_He
6		0		-		1		0		0		0		6		0		0		0		-		->		p1_R_Ke
6		0		-		1		0		0		0		7		0		0		0		-		->		p1_R_H
6		0		-		1		0		0		0		8		0		0		0		-		->		p1_R_H
6		0		-		1		0		0		0		9		0		0		0		-		->		p1_R_H
6		0		-		1		0		0		0		10	0		0		0		-		->		p1_R_Ke
6		0		-		1		0		2		0		0		0		0		0		-		->		p1_R_We
6		0		-		1		0		3		0		0		0		0		0		-		->		p1_R_We
6		0		-		1		0		5		0		0		0		0		0		-		->		p1_R_We
6		0		-		1		0		8		0		0		0		0		0		-		->		p1_R_W
6		0		-		1		2		0		0		0		0		0		0		-		->		p1_R_Ke
6		0		-		1		3		0		0		0		0		0		0		-		->		p1_R_Ke
6		0		-		1		5		0		0		0		0		0		0		-		->		p1_R_Ke
6		0		-		1		8		0		0		0		0		0		0		-		->		p1_R_Ke
6		0		-		2		0		0		0		0		0		0		0		-		->		p1_R_Ke
6		0		-		2		0		0		0		0		0		0		2		-		->		p1_R_Ge
6		0		-		2		0		0		0		0		0		0		3		-		->		p1_R_Ge
6		0		-		2		0		0		0		0		0		0		5		-		->		p1_R_Ge
6		0		-		2		0		0		0		0		0		0		8		-		->		p1_R_G
6		0		-		2		0		0		0		0		1		0		0		-		->		p1_R_Me
6		0		-		2		0		0		0		0		2		0		0		-		->		p1_R_Me
6		0		-		2		0		0		0		0		4		0		0		-		->		p1_R_Me
6		0		-		2		0		0		0		0		7		0		0		-		->		p1_R_M
6		0		-		2		0		0		0		1		0		0		0		-		->		p1_R_Ke
6		0		-		2		0		0		0		2		0		0		0		-		->		p1_R_Ke
6		0		-		2		0		0		0		3		0		0		0		-		->		p1_R_Ke
6		0		-		2		0		0		0		4		0		0		0		-		->		p1_R_He
6		0		-		2		0		0		0		5		0		0		0		-		->		p1_R_He
6		0		-		2		0		0		0		6		0		0		0		-		->		p1_R_Ke
6		0		-		2		0		0		0		7		0		0		0		-		->		p1_R_H
6		0		-		2		0		0		0		8		0		0		0		-		->		p1_R_H
6		0		-		2		0		0		0		9		0		0		0		-		->		p1_R_H
6		0		-		2		0		0		0		10	0		0		0		-		->		p1_R_Ke
6		0		-		2		0		2		0		0		0		0		0		-		->		p1_R_We
6		0		-		2		0		3		0		0		0		0		0		-		->		p1_R_We
6		0		-		2		0		5		0		0		0		0		0		-		->		p1_R_We
6		0		-		2		0		8		0		0		0		0		0		-		->		p1_R_W
6		0		-		2		2		0		0		0		0		0		0		-		->		p1_R_Ke
6		0		-		2		3		0		0		0		0		0		0		-		->		p1_R_Ke
6		0		-		2		5		0		0		0		0		0		0		-		->		p1_R_Ke
6		0		-		2		8		0		0		0		0		0		0		-		->		p1_R_Ke
6		0		-		3		0		0		0		0		0		0		0		-		->		p1_R_Ke
6		0		-		3		0		0		0		1		0		0		0		-		->		p1_R_Ke
6		0		-		3		0		0		0		2		0		0		0		-		->		p1_R_Ke
6		0		-		3		0		0		0		3		0		0		0		-		->		p1_R_Ke
6		0		-		3		0		0		0		4		0		0		0		-		->		p1_R_He
6		0		-		3		0		0		0		5		0		0		0		-		->		p1_R_He
6		0		-		3		0		0		0		6		0		0		0		-		->		p1_R_Ke
6		0		-		3		0		0		0		7		0		0		0		-		->		p1_R_H
6		0		-		3		0		0		0		8		0		0		0		-		->		p1_R_H
6		0		-		3		0		0		0		9		0		0		0		-		->		p1_R_H
6		0		-		3		0		0		0		10	0		0		0		-		->		p1_R_Ke
6		0		-		4		0		0		0		0		0		0		0		-		->		p1_R_Ke
6		0		-		4		0		0		0		0		0		0		2		-		->		p1_R_Ge
6		0		-		4		0		0		0		0		0		0		3		-		->		p1_R_Ge
6		0		-		4		0		0		0		0		0		0		5		-		->		p1_R_Ge
6		0		-		4		0		0		0		0		0		0		8		-		->		p1_R_G
6		0		-		4		0		0		0		0		1		0		0		-		->		p1_R_Me
6		0		-		4		0		0		0		0		2		0		0		-		->		p1_R_Me
6		0		-		4		0		0		0		0		4		0		0		-		->		p1_R_Me
6		0		-		4		0		0		0		0		7		0		0		-		->		p1_R_M
6		0		-		4		0		0		0		1		0		0		0		-		->		p1_R_Ke
6		0		-		4		0		0		0		2		0		0		0		-		->		p1_R_Ke
6		0		-		4		0		0		0		3		0		0		0		-		->		p1_R_Ke
6		0		-		4		0		0		0		4		0		0		0		-		->		p1_R_He
6		0		-		4		0		0		0		5		0		0		0		-		->		p1_R_He
6		0		-		4		0		0		0		6		0		0		0		-		->		p1_R_Ke
6		0		-		4		0		0		0		7		0		0		0		-		->		p1_R_H
6		0		-		4		0		0		0		8		0		0		0		-		->		p1_R_H
6		0		-		4		0		0		0		9		0		0		0		-		->		p1_R_Ke
6		0		-		4		0		0		0		10	0		0		0		-		->		p1_R_Ke
6		0		-		4		0		2		0		0		0		0		0		-		->		p1_R_We
6		0		-		4		0		3		0		0		0		0		0		-		->		p1_R_We
6		0		-		4		0		5		0		0		0		0		0		-		->		p1_R_We
6		0		-		4		0		8		0		0		0		0		0		-		->		p1_R_W
6		0		-		4		2		0		0		0		0		0		0		-		->		p1_R_Ke
6		0		-		4		3		0		0		0		0		0		0		-		->		p1_R_Ke
6		0		-		4		5		0		0		0		0		0		0		-		->		p1_R_Ke
6		0		-		4		8		0		0		0		0		0		0		-		->		p1_R_Ke
6		0		-		5		0		0		0		0		0		0		0		-		->		p1_R_Ke
6		0		-		5		0		0		0		0		0		0		2		-		->		p1_R_Ge
